ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER_PERFEZIONAMENTO
2011-2012;06001;Cassino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06201;Benevento - Università degli studi del Sannio;T1 ;Totale iscritti;5764;143;0;0
2011-2012;06201;Benevento - Università degli studi del Sannio;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;52;;
2011-2012;06201;Benevento - Università degli studi del Sannio;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;32;0;0
2011-2012;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1 ;Totale iscritti;449;0;0;167
2011-2012;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06301;"Napoli - Università degli studi ""Federico II""";T1 ;Totale iscritti;86981;1503;1932;1155
2011-2012;06301;"Napoli - Università degli studi ""Federico II""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;966;;
2011-2012;06301;"Napoli - Università degli studi ""Federico II""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06302;"Napoli - Università degli studi ""Parthenope""";T1 ;Totale iscritti;16492;201;0;95
2011-2012;06302;"Napoli - Università degli studi ""Parthenope""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;109;;
2011-2012;06302;"Napoli - Università degli studi ""Parthenope""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06303;"Napoli - Università degli studi ""L' Orientale""";T1 ;Totale iscritti;9557;116;0;0
2011-2012;06303;"Napoli - Università degli studi ""L' Orientale""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;57;;
2011-2012;06303;"Napoli - Università degli studi ""L' Orientale""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1 ;Totale iscritti;9379;9;110;622
2011-2012;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;4;;
2011-2012;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06306;Napoli - Seconda Università degli studi;T1 ;Totale iscritti;29093;530;1113;87
2011-2012;06306;Napoli - Seconda Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;302;;
2011-2012;06306;Napoli - Seconda Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06307;"Napoli - Universita telematica ""Pegaso""";T1 ;Totale iscritti;3924;11;0;6806
2011-2012;06307;"Napoli - Universita telematica ""Pegaso""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;3;;
2011-2012;06307;"Napoli - Universita telematica ""Pegaso""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06501;Salerno - Università degli studi;T1 ;Totale iscritti;34424;457;234;209
2011-2012;06501;Salerno - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;272;;
2011-2012;06501;Salerno - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06601;L'Aquila - Università degli studi;T1 ;Totale iscritti;24597;360;411;503
2011-2012;06601;L'Aquila - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;188;;
2011-2012;06601;L'Aquila - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06701;Teramo - Università degli studi;T1 ;Totale iscritti;7640;116;199;343
2011-2012;06701;Teramo - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;73;;
2011-2012;06701;Teramo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1 ;Totale iscritti;31757;468;649;797
2011-2012;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;270;;
2011-2012;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1 ;Totale iscritti;369;0;0;474
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;T1 ;Totale iscritti;8352;89;37;125
2011-2012;07001;Campobasso - Università degli studi del Molise;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;57;;
2011-2012;07001;Campobasso - Università degli studi del Molise;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;T1 ;Totale iscritti;10839;120;239;516
2011-2012;07101;Foggia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;70;;
2011-2012;07101;Foggia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;71
2011-2012;07201;Bari - Università degli studi;T1 ;Totale iscritti;56425;785;1426;672
2011-2012;07201;Bari - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;423;;
2011-2012;07201;Bari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07202;Bari - Politecnico;T1 ;Totale iscritti;11210;165;0;43
2011-2012;07202;Bari - Politecnico;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;150;;
2011-2012;07202;Bari - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;5;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1 ;Totale iscritti;1469;52;157;380
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;22;;
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;T1 ;Totale iscritti;20081;346;173;201
2011-2012;07501;Lecce - Università del Salento;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;201;;
2011-2012;07501;Lecce - Università del Salento;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;T1 ;Totale iscritti;9183;181;36;4
2011-2012;07601;Potenza - Università degli studi della Basilicata;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;112;;
2011-2012;07601;Potenza - Università degli studi della Basilicata;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07801;Arcavacata di Rende - Università della Calabria;T1 ;Totale iscritti;33413;394;84;500
2011-2012;07801;Arcavacata di Rende - Università della Calabria;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;225;;
2011-2012;07801;Arcavacata di Rende - Università della Calabria;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1 ;Totale iscritti;10077;171;528;333
2011-2012;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;127;;
2011-2012;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;08001;Reggio Calabria - Università degli studi Mediterranea;T1 ;Totale iscritti;8961;191;124;108
2011-2012;08001;Reggio Calabria - Università degli studi Mediterranea;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;108;;
2011-2012;08001;Reggio Calabria - Università degli studi Mediterranea;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;3
2011-2012;08003;Reggio Calabria - Università per Stranieri;T1 ;Totale iscritti;541;0;0;9474
2011-2012;08003;Reggio Calabria - Università per Stranieri;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;08003;Reggio Calabria - Università per Stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;08201;Palermo - Università degli studi;T1 ;Totale iscritti;52775;724;1120;842
2011-2012;08201;Palermo - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;397;;
2011-2012;08201;Palermo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;08301;Messina - Università degli studi;T1 ;Totale iscritti;27986;588;970;850
2011-2012;08301;Messina - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;327;;
2011-2012;08301;Messina - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;216
2011-2012;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1 ;Totale iscritti;6282;49;0;110
2011-2012;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;22;;
2011-2012;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;08701;Catania - Università degli studi;T1 ;Totale iscritti;52384;459;1798;394
2011-2012;08701;Catania - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;318;;
2011-2012;08701;Catania - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;09001;Sassari - Università degli studi;T1 ;Totale iscritti;15196;377;451;54
2011-2012;09001;Sassari - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;241;;
2011-2012;09001;Sassari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;09201;Cagliari - Università degli studi;T1 ;Totale iscritti;29205;486;936;303
2011-2012;09201;Cagliari - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;317;;
2011-2012;09201;Cagliari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;184
2012-2013;00101;Torino - Università degli studi;T1 ;Totale iscritti;64152;1037;1414;1621
2012-2013;00101;Torino - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;598;;
2012-2013;00101;Torino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;00101;Torino - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;6147;;;
2012-2013;00102;Torino - Politecnico;T1 ;Totale iscritti;29393;703;22;306
2012-2013;00102;Torino - Politecnico;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;303;;
2012-2013;00102;Torino - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;123;0;131
2012-2013;00102;Torino - Politecnico;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;4298;;;
2012-2013;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1 ;Totale iscritti;9686;166;263;193
2012-2013;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;108;;
2012-2013;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;582;;;
2012-2013;00401;Bra (CN) - Università di Scienze Gastronomiche;T1 ;Totale iscritti;253;0;0;70
2012-2013;00401;Bra (CN) - Università di Scienze Gastronomiche;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2012-2013;00401;Bra (CN) - Università di Scienze Gastronomiche;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;00401;Bra (CN) - Università di Scienze Gastronomiche;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;00701;Aosta - Università degli studi;T1 ;Totale iscritti;1149;0;0;0
2012-2013;00701;Aosta - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2012-2013;00701;Aosta - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;00701;Aosta - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01001;Genova - Università degli studi;T1 ;Totale iscritti;32323;1095;998;915
2012-2013;01001;Genova - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;635;;
2012-2013;01001;Genova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;25
2012-2013;01001;Genova - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1346;;;
2012-2013;01201;"Castellanza - Università ""Carlo Cattaneo""";T1 ;Totale iscritti;1733;29;0;184
2012-2013;01201;"Castellanza - Università ""Carlo Cattaneo""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;15;;
2012-2013;01201;"Castellanza - Università ""Carlo Cattaneo""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;10
2012-2013;01201;"Castellanza - Università ""Carlo Cattaneo""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01202;Varese - Università dell' Insubria;T1 ;Totale iscritti;8391;231;332;147
2012-2013;01202;Varese - Università dell' Insubria;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;130;;
2012-2013;01202;Varese - Università dell' Insubria;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01202;Varese - Università dell' Insubria;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;438;;;
2012-2013;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1 ;Totale iscritti;6081;0;0;282
2012-2013;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2012-2013;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;370;;;
2012-2013;01501;Milano - Università degli studi;T1 ;Totale iscritti;58865;1388;2628;1661
2012-2013;01501;Milano - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;846;;
2012-2013;01501;Milano - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01501;Milano - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;173;;;
2012-2013;01502;Milano - Politecnico;T1 ;Totale iscritti;38807;1073;22;1459
2012-2013;01502;Milano - Politecnico;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;647;;
2012-2013;01502;Milano - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01502;Milano - Politecnico;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;5627;;;
2012-2013;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1 ;Totale iscritti;13290;128;0;1113
2012-2013;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;104;;
2012-2013;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;62
2012-2013;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1 ;Totale iscritti;39137;618;1300;2242
2012-2013;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;389;;
2012-2013;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;131
2012-2013;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1 ;Totale iscritti;4179;48;0;375
2012-2013;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;31;;
2012-2013;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;10
2012-2013;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01508;Milano - Università Vita-Salute San Raffaele;T1 ;Totale iscritti;1986;156;331;14
2012-2013;01508;Milano - Università Vita-Salute San Raffaele;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;61;;
2012-2013;01508;Milano - Università Vita-Salute San Raffaele;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01508;Milano - Università Vita-Salute San Raffaele;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01509;Milano-Bicocca - Università degli studi;T1 ;Totale iscritti;32923;589;517;587
2012-2013;01509;Milano-Bicocca - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;401;;
2012-2013;01509;Milano-Bicocca - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01509;Milano-Bicocca - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;50;;;
2012-2013;01601;Bergamo - Università degli studi;T1 ;Totale iscritti;14853;272;0;417
2012-2013;01601;Bergamo - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;164;;
2012-2013;01601;Bergamo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;8
2012-2013;01601;Bergamo - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;172;;;
2012-2013;01701;Brescia - Università degli studi;T1 ;Totale iscritti;14209;226;633;292
2012-2013;01701;Brescia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;148;;
2012-2013;01701;Brescia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01701;Brescia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;16;;;
2012-2013;01801;Pavia - Università degli studi;T1 ;Totale iscritti;21496;603;1043;422
2012-2013;01801;Pavia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;356;;
2012-2013;01801;Pavia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;01801;Pavia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;01802;Pavia - Istituto universitario di studi superiori;T1 ;Totale iscritti;0;76;0;84
2012-2013;01802;Pavia - Istituto universitario di studi superiori;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;58;;
2012-2013;01802;Pavia - Istituto universitario di studi superiori;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;13
2012-2013;01802;Pavia - Istituto universitario di studi superiori;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;02101;Bolzano - Libera Università;T1 ;Totale iscritti;2821;112;159;81
2012-2013;02101;Bolzano - Libera Università;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;87;;
2012-2013;02101;Bolzano - Libera Università;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;02101;Bolzano - Libera Università;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;02201;Trento - Università degli studi;T1 ;Totale iscritti;16239;574;0;56
2012-2013;02201;Trento - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;435;;
2012-2013;02201;Trento - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;02201;Trento - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;242;;;
2012-2013;02301;Verona - Università degli studi;T1 ;Totale iscritti;21250;584;1128;902
2012-2013;02301;Verona - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;359;;
2012-2013;02301;Verona - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;26
2012-2013;02301;Verona - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;541;;;
2012-2013;02701;"Venezia - Università degli studi ""Cà Foscari""";T1 ;Totale iscritti;18544;350;0;498
2012-2013;02701;"Venezia - Università degli studi ""Cà Foscari""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;151;;
2012-2013;02701;"Venezia - Università degli studi ""Cà Foscari""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;02701;"Venezia - Università degli studi ""Cà Foscari""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;771;;;
2012-2013;02702;Venezia - Università IUAV;T1 ;Totale iscritti;5024;138;0;119
2012-2013;02702;Venezia - Università IUAV;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;76;;
2012-2013;02702;Venezia - Università IUAV;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;02702;Venezia - Università IUAV;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2012-2013;02801;Padova - Università degli studi;T1 ;Totale iscritti;58906;1438;1427;1493
2012-2013;02801;Padova - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;982;;
2012-2013;02801;Padova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;02801;Padova - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;394;;;
2012-2013;03001;Udine - Università degli studi;T1 ;Totale iscritti;14973;377;334;245
2012-2013;03001;Udine - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;216;;
2012-2013;03001;Udine - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;03001;Udine - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;42;;;
2012-2013;03201;Trieste - Università degli studi;T1 ;Totale iscritti;16887;378;428;309
2012-2013;03201;Trieste - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;281;;
2012-2013;03201;Trieste - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2012-2013;03201;Trieste - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;12;;;
2012-2013;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1 ;Totale iscritti;0;242;0;59
