TIPO;PROGRESSIVO_DM_ASS;DATA_PRIMA_PUBBLICAZIONE;DM_RIFERIMENTO;GRUPPO_DM_SIMILI;ISCRIZIONE_REPERTORIO;INIZIO_VALIDITA;FINE_VALIDITA;FABBRICANTE_ASSEMBLATORE;CODICE_FISCALE;PARTITA_IVA_VATNUMBER;CODICE_CATALOGO_FABBR_ASS;DENOMINAZIONE_COMMERCIALE;CLASSIFICAZIONE_CND;DESCRIZIONE_CND;DATAFINE_COMMERCIO
1;4456;2007-10-24;;;S;2007-10-24;9999-12-31;NIPRO CORPORATION;;;PES-190DL;FILTRO IN POLIETERESULFONE PER EMODIALISI A BASSO FLUSSOAREA EFFETTIVA SUPERFICIE 1,9MQ;F01060103;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE < 18 ml/h/mmHg IN MATERIALE SINTETICO;
1;4457;2007-09-19;;;S;2007-09-19;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.013;QUADRA-S 1214 STELO FEMORALE LATERALIZZATO  NON CEMENTATO SABBIATO - TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4458;2007-09-19;;;S;2007-09-19;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.014;QUADRA-S 1214 STELO FEMORALE LATERALIZZATO NON CEMENTATO SABBIATO -TAGLIA 4;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4459;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;PES-110DS;FILTRO IN POLIETERESULFONE PER EMODIALISI A MEDIO FLUSSO - SUPERFICIE EFFETTIVA 1,1 MQ -;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4461;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;PES-130DS;FILTRO IN POLIETERESULFONE PER EMODIALISI A MEDIO FLUSSO - SUPERFICIE EFFETTIVA 1,3 MQ.;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4462;2007-09-19;;;S;2007-09-19;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.015;QUADRA S 1214 STELO FEMORALE LATERALIZZATO NON CEMENTATO SABBIATO -TAGLIA 5;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4463;2007-10-06;;;S;2007-10-06;9999-12-31;DEPUY ORTHOPAEDICS;;;229424XXX;LCS COMPLETE VVC INSERT TRIAL;V06;DISPOSITIVI PER SIMULAZIONE DI PROCEDURE CLINICHE;
1;4464;2007-09-20;;;S;2007-09-20;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.016;QUADRA S 12 14 STELO FEMORALE LATERALIZZATO NON CEMENTATO SABBIATO -TAGLIA  6;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4465;2007-09-19;;;S;2007-09-19;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.017;QUADRA S 1214 STELO FEMORALE LATERALIZZATO NON CEMENTATO SABBIATO -TAGLIA 7;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4466;2008-02-23;;;S;2014-03-07;9999-12-31;MEDILAND SRL;02292840127;02292840127;"003157; 003156";CUSCINO IN FIBRA CAVA SILICONATA KOMETA;Y033303;CUSCINI ANTIDECUBITO;
1;4467;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.99SN;QUADRA S 12-14 STELO FEMORALE STANDARD NON CEMENTATO - SABBIATO - COLLO CORTO TAGLIA 00;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4468;2008-02-23;;;S;2014-01-25;9999-12-31;MEDILAND SRL;02292840127;02292840127;003015, 003016;CUSCINO IN FIBRA CAVA SILICONATA KOMETA ECO 3;Y033303;CUSCINI ANTIDECUBITO;
1;4469;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.00SN;QUADRA S 12-14 STELO FEMORALE STANDARD NON CEMENTATO - SABBIATO - COLLO CORTO TAGLIA 0;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4470;2007-10-06;;;S;2007-10-06;9999-12-31;DEPUY ORTHOPAEDICS;;;2294280XX;LCS COMPLETE REV FEM TRL R;V06;DISPOSITIVI PER SIMULAZIONE DI PROCEDURE CLINICHE;
1;4471;2008-02-23;;;S;2014-01-25;9999-12-31;MEDILAND SRL;02292840127;02292840127;003014;CUSCINO IN FIBRA CAVA SILICONATA KOMETA CON FORO CENTRALE;Y033303;CUSCINI ANTIDECUBITO;
1;4472;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.01SN;QUADRA S 12-14 STELO FEMORALE STANDARD NON CEMENTATO - SABBIATO - COLLO CORTO TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4473;2007-10-06;;;S;2007-10-06;9999-12-31;DEPUY ORTHOPAEDICS;;;2294290XX;LCS COMPLETE REV FEM TRL L;V06;DISPOSITIVI PER SIMULAZIONE DI PROCEDURE CLINICHE;
1;4474;2007-08-30;;;S;2007-08-30;9999-12-31;NEOPROBE CORPORATION;;;4100;FLUSSIMETRO NEOPROBE QUANTIX/OR;Z12040111;EMOFLUSSIMETRI;
1;4475;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.02SN;QUADRA S 12-14 STELO FEMORALE STANDARD NON CEMENTATO - SABBIATO - COLLO CORTO TAGLIA 2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4476;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.03SN;QUADRA S 12 14 STELO FEMORALE STANDARD CEMENTATO -SABBIATO COLLO CORTO TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4477;2008-02-23;;;S;2008-02-23;9999-12-31;MEDILAND RUSCH CARE SRL;02292840127;02292840127;855350, 855351.;KOMET GEL;Y033303;CUSCINI ANTIDECUBITO;
1;4478;2008-11-04;;;S;2008-11-04;9999-12-31;GERMO S.P.A.;00772350153;00772350153;FT-02;GERMALDEIDE;D99;DISINFETTANTI E ANTISETTICI - ALTRI;
1;4479;2007-10-24;;;S;2007-10-24;9999-12-31;NIPRO CORPORATION;;;PES-150DS;FILTRO IN POLIETERESULFONE PER EMODIALISI A MEDIO FLUSSO - AREA EFFETTIVA SUPERFICIE 1,5 MQ;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4480;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.11SN;QUADRA S 12-14 STELO FEMORALE LATERIZZATO SABBIATO COLLO CORTO TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4481;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;PES-170DS;FILTRO IN POLIETERESULFONE PER EMODIALISI A MEDIO FLUSSO - SUPERFICIE EFFETTIVA 1,7 MQ.;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4482;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.12SN;QUADRA S 12-14 STELO FEMORALE LATERIZZATO SABBIATO COLLO CORTO TAGLIA 2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4483;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;PES-190DS;FILTRO IN POLIETERESULFONE PER EMODIALISI A MEDIO FLUSSO - SUPERFICIE EFFETTIVA 1,9 MQ.;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4484;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.13SN;QUADRA S 12-14 STELO FEMORALE LATERIZZATO SABBIATO COLLO CORTO TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4485;2007-10-24;;;S;2007-10-24;9999-12-31;NIPRO CORPORATION;;;PES-110DH;FILTRO IN POLIETERESULFONE PER EMODIALISI AD ALTO  FLUSSO- AREA EFFETTIVA SUPERFICIE 1,1 MQ.;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4486;2008-05-11;;;S;2008-05-11;9999-12-31;EMODIAL SRL;01368670384;01368670384;SXXXX-SXXXX/X;EMOSTANTAMPONI PREMIFISTOLA;M0407;TAMPONI SPECIALI;2008-09-12
1;4487;2007-10-03;;;S;2007-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.020;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 0;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4488;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;PES-130DH;FILTRO IN POLIETERESULFONE PER EMODIALISI AD ALTO  FLUSSO - SUPERFICIE EFFETTIVA 1,3 MQ;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4489;2007-10-03;;;S;2007-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.021;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4490;2007-10-24;;;S;2007-10-24;9999-12-31;NIPRO CORPORATION;;;PES-150DH;FILTRO IN POLIETERESULFONE PER EMODIALISI AD ALTO  FLUSSOAREA EFFETTIVA SUPERFICIE 1,5 MQ;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4491;2007-10-20;;;S;2007-10-20;9999-12-31;NIPRO CORPORATION;;;PES-170DH;FILTRO IN POLIETERESULFONE PER EMODIALISI AD ALTO  FLUSSOAREA EFFETTIVA SUPERFICIE 1,7 MQ;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4492;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.022;QUADRA H STELO STD 12/14  NON CEMENTATO HAP - TAGLIA 2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4493;2008-02-26;;;S;2014-03-11;9999-12-31;MEDILAND SRL;02292840127;02292840127;851550;PROTEZIONE PER TALLONE KOMETA IN FIBRA CAVA SILICONATA.;Y033309;PROTEZIONI PER TALLONE, GOMITO E GINOCCHIO;
1;4494;2007-10-20;;;S;2007-10-20;9999-12-31;NIPRO CORPORATION;;;PES-190DH;FILTRO IN POLIETERESULFONE PER EMODIALISI AD ALTO  FLUSSO AREA EFFETTIVA SUPERFICIE 1,9 MQ;F01060303;FILTRI CON COEFFICIENTE DI ULTRAFILTRAZIONE > 35 ml/h/mmHg IN MATERIALE SINTETICO;
1;4495;2008-11-04;;;S;2008-11-04;9999-12-31;GERMO S.P.A.;00772350153;00772350153;FT-03;GERMOCID PLUS;D99;DISINFETTANTI E ANTISETTICI - ALTRI;
1;4496;2007-09-01;;;N;2007-09-01;9999-12-31;SNATCHERS COMPANY A/S;;26903386;00 003995 000 000;ASPIRAPIDOCCHI PID OUT;V9099;DISPOSITIVI NON COMPRESI NELLE CLASSI PRECEDENTI - ALTRI;
1;4497;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.023;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4498;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.024;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 4;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4499;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.025;QUADRA H STELO STD 12/14  NON CEMENTATO HAP - TAGLIA  5;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4500;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.026;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 6;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4501;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.027;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 7;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4502;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.028;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 8;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4503;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.029;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 9;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4505;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.030;QUADRA H STELO STD 12/14 NON CEMENTATO HAP - TAGLIA 10;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4506;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.009;QUADRA-S 12 14 STELO STD NON CEMENTATO SABBIATO - TAGLIA  9;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4507;2007-09-21;;;S;2007-09-21;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.010;QUADRA-S 12 14 STELO STD NON CEMENTATO SABBIATO - TAGLIA 10SIZE 10;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4510;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;SYRINGE 5ML WITHOUT NEEDLE LUER SLIP TIP;SIRINGA DA 5ML SENZA AGO CON  CONO LUER SLIP;A020102010202;SIRINGHE DA INFUSIONE ED IRRIGAZIONE MONOUSO CON CONO LUER A TRE PEZZI SENZA AGO;
1;4511;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.031;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4512;2007-08-25;;;S;2007-08-25;9999-12-31;PROTEX HEALTHCARE (UK) LTD.;;768812389;VAC0XXXXX;VACUTEX;M040499;MEDICAZIONI PER FERITE, PIAGHE E ULCERE - ALTRE;
1;4513;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.032;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA  2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4514;2007-08-25;;;N;2007-08-25;9999-12-31;CONSULTEAMSAS;01063510406;01063510406;C0114H;H7 INSOMNIA CONTROL;M0499;MEDICAZIONI SPECIALI - ALTRE;
1;4515;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.033;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA  3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4516;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.034;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA  4;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4517;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.035;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA  5;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4518;2007-10-24;;;S;2007-10-24;9999-12-31;CAPELLI SRL;02988510232;02988510232;KF02;SCHIENALE IN FIBRA CAVA SILICONATA;Y033303;CUSCINI ANTIDECUBITO;2010-12-31
1;4519;2008-04-19;;;S;2008-04-19;9999-12-31;FISIOPRESS;01590520449;01590520449;FP1000;PRESSOTERAPIA FP1000;Z120607;APPARECCHIATURE PER PRESSOTERAPIA;
1;4520;2007-10-24;;25692;S;2010-07-12;9999-12-31;CAPELLI SRL;02988510232;02988510232;KF034444;CUSCINO IN FIBRA CAVA SILICONATA CON IMPUNTURA CENTRALE;Y033303;CUSCINI ANTIDECUBITO;
1;4521;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.036;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA  6;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4522;2007-10-24;;;S;2007-10-24;9999-12-31;CAPELLI SRL;02988510232;02988510232;KF04;SCHIENALE IN FIBRA CAVA SILICONATA CON  IMPUNTURA CENTRALE;Y033303;CUSCINI ANTIDECUBITO;2010-12-31
1;4526;2007-09-01;;;S;2007-09-01;9999-12-31;BTS SPA;12794130158;12794130158;PKPPE08BA;POCKETEMG;Z12100401;ELETTROMIOGRAFI;
1;4527;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.037;QUADRA H STELO LATERALIZZATO 12/14 NON CEMENTATO HAP - TAGLIA 7;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4528;2007-12-17;;;S;2007-12-17;9999-12-31;NIPRO CORPORATION;;;14GX1  HTC-30R GA;AGO FISTOLA PER EMODIALISI ARTERIOSO 14GCON FORO LATERALE E ALETTTE GIREVOLI;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4529;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.20SN;QUADRA H STELO FEMORALE STD NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA 0;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4530;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.21SN;QUADRA H STELO FEMORALE STD NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4532;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.22SN;QUADRA H STELO FEMORALE STD NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA  2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4533;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.23SN;QUADRA H STELO FEMORALE STD NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4534;2007-10-07;;;S;2007-10-07;9999-12-31;DEPUY INTERNATIONAL LTD.;;686914188;221887XXX;PINNACLE XL INSERT TRIAL;V06;DISPOSITIVI PER SIMULAZIONE DI PROCEDURE CLINICHE;
1;4535;2007-12-03;;;S;2007-12-03;9999-12-31;NIPRO CORPORATION;;;SF 15GX1  HC-30R;"AGO FISTOLA PER EMODIALISI VENOSO CON SISTEMA DI SICUREZZA ""SAFE TOUCH AVF"" 15G";A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4537;2007-10-22;;;S;2007-10-22;9999-12-31;NIPRO CORPORATION;;;15GX1 TC-30B GA;AGO FISTOLA VENOSOPER EMODIALISI 15G;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4538;2007-12-17;;;S;2007-12-17;9999-12-31;NIPRO CORPORATION;;;15GX1 HTC-15R GA;AGO FISTOLA PER EMODIALISI ARTERIOSO CON FORO LATERALE E ALETTE GIREVOLI E CON TUBO 15CMAGO 15G;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4540;2007-10-11;;25696;S;2010-07-12;9999-12-31;CAPELLI SRL;02988510232;02988510232;KC314040;CUSCINO IN VISCOELASTICO COMPATTO;Y033303;CUSCINI ANTIDECUBITO;
1;4543;2008-01-17;;;S;2012-02-03;9999-12-31;DEPUY ORTHOPAEDICS;;;121887XXX;PINNACLE METAL INSERT NEUTRAL - INSERTO IN METALLO NEUTRO;P0908030403;INSERTI PER PROTESI DI ANCA IN MATERIALE METALLICO;
1;4544;2007-10-12;;;S;2007-10-12;9999-12-31;CAPELLI SRL;02988510232;02988510232;KC30;CUSCINO IN VISCOELASTICO COMPATTO CON SUPPORTO IN POLIURETANO ESPANSO;Y033303;CUSCINI ANTIDECUBITO;2010-12-31
1;4561;2007-09-14;;;S;2007-09-14;9999-12-31;PACIFICO S.R.L.;00234290658;00234290658;AAAXX-TXXXY-TMYXY-CXXXY-FERXX-COPXX-AAAXX-LXXY;TELI NON CHIRURGICI;T030104;TELI NON CHIRURGICI;
1;4562;2007-09-14;;;S;2007-09-14;9999-12-31;PACIFICO S.R.L.;00234290658;00234290658;AAAXX;TELI PER CHIRURGIA SPECIALISTICA;T020102;TELI PER CHIRURGIA SPECIALISTICA;
1;4563;2007-09-14;;;S;2007-09-14;9999-12-31;PACIFICO S.R.L.;00234290658;00234290658;FAAAXX;KIT CHIRURGICI  - STRUMENTARI STERILI  PER CHIRURGIA GENERALE E SPECIALISTICA;T0202;KIT CHIRURGICI (sono compresi solo i Kit certificati CE come tali);
1;4565;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;SYRINGE 10ML WITHOUT NEEDLE LUER SLIP TIP;SIRINGA DA 10ML SENZA AGO CON  CONO LUER SLIP;A020102010202;SIRINGHE DA INFUSIONE ED IRRIGAZIONE MONOUSO CON CONO LUER A TRE PEZZI SENZA AGO;
1;4567;2007-11-19;;;S;2007-11-19;9999-12-31;NIPRO CORPORATION;;;SYRINGE 20ML WITHOUT NEEDLE LUER SLIP TIP;SIRINGA DA 20ML SENZA AGO CON  CONO LUER SLIP;A020102010202;SIRINGHE DA INFUSIONE ED IRRIGAZIONE MONOUSO CON CONO LUER A TRE PEZZI SENZA AGO;
1;4568;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.31SN;QUADRA H STELO FEMORALE LATERALIZZATO NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA 1;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4570;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.32SN;QUADRA H STELO FEMORALE LATERALIZZATO NON CEMENTATO SHORT NECK 12/14 RIVESTITO IN HA - TAGLIA 2;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4571;2007-12-17;;;S;2014-09-11;9999-12-31;NIPRO CORPORATION;;;16GX4/5 HTC-30R  GA;AGO FISTOLA PER EMODIALISI ARTERIOSO CON FORO LATERALE E ALETTE GIREVOLI - CON AGO CORTO 16G;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4572;2008-10-03;;;S;2008-10-03;9999-12-31;MEDACTA INTERNATIONAL SA;;;01.12.33SN;QUADRA H 12 14 STELO FEMORALE LATERALIZZATO NON CEMENTATO COLLO CORTO RIVESTITO IN HA - TAGLIA 3;P090804010201;STELI FEMORALI NON CEMENTATI PER IMPIANTO PRIMARIO NON MODULARI RETTI;
1;4573;2007-11-19;;;S;2010-02-11;9999-12-31;NIPRO EUROPE NV;;444276727;SY3 50 S C EC;SIRINGA DA 50ML SENZA AGO CON  CONO LUER SLIP;A020102010202;SIRINGHE DA INFUSIONE ED IRRIGAZIONE MONOUSO CON CONO LUER A TRE PEZZI SENZA AGO;
1;4574;2007-12-17;;;S;2007-12-17;9999-12-31;NIPRO CORPORATION;;;16GX4/5 TC-30B GA;AGO FISTOLA 16G PER EMODIALISI VENOSO CON ALETTE GIREVOLI - CON AGO CORTO;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4575;2007-10-12;;;S;2007-10-12;9999-12-31;CAPELLI SRL;02988510232;02988510232;KC31;CUSCINO IN VISCOELASTICO COMPATTO CON SUPPORTO IN POLIURETANO ESPANSO;Y033303;CUSCINI ANTIDECUBITO;2010-12-31
1;4576;2007-10-22;;;S;2007-10-22;9999-12-31;NIPRO CORPORATION;;;D-AVF 16GX1 HTC-30R E;AGO FISTOLA PER EMODIALISI ARTERIOSO CON PUNTA ARROTONDATA 16G;A010401;AGHI FISTOLA ARTERO-VENOSI;
1;4577;2007-10-13;;25704;S;2010-07-13;9999-12-31;CAPELLI SRL;02988510232;02988510232;KC324040;CUSCINO IN VISCOELASTICO COMPATTO CON SUPPORTO IN POLIURETANO ESPANSO;Y033303;CUSCINI ANTIDECUBITO;
1;4578;2007-09-19;;;S;2007-09-19;9999-12-31;BIOSENSE WEBSTER INC.;;;F8ENNNNHS;ESOPHASTAR ESOPHAGEAL MAPPING CATHETER;C020105;ELETTROCATETERI TRIDIMENSIONALI PER MAPPAGGIO NON CONVENZIONALE (CONTACT E NON-CONTACT);
1;4579;2007-10-11;;25702;S;2010-07-13;9999-12-31;CAPELLI SRL;02988510232;02988510232;KC024040;CUSCINO IN SILICONE INTEGRALE E POLIURETANO ESPANSO;Y033303;CUSCINI ANTIDECUBITO;
